date,code,open,high,low,close,volume,amount,turn,pctChg,adjustflag
2015-01-05,sh.600519,134.3199816800,144.6762633600,133.6612031600,143.4578772800,9451517,1875063136.0000,0.827630,6.803100,2
2015-01-06,sh.600519,141.6728000000,143.4862118400,138.8535112800,140.1356501200,5502001,1094977376.0000,0.481787,-2.315800,2
2015-01-07,sh.600519,138.8676785600,141.3186180000,134.5820763600,136.6717501600,5479784,1063925648.0000,0.479842,-2.471800,2
2015-01-08,sh.600519,137.4226160000,137.7909652800,134.6883309600,135.8358806400,4052530,777874672.0000,0.354863,-0.611600,2
2015-01-09,sh.600519,134.8725056000,138.6764202800,134.6670800400,134.8087528400,5398220,1039955152.0000,0.472700,-0.756200,2
2015-01-12,sh.600519,134.5891600000,136.4238227600,130.6648234400,132.0603005200,4991459,934643408.0000,0.437081,-2.038800,2
2015-01-13,sh.600519,132.4640680000,133.5549485600,130.7639944000,130.9623363200,3670808,683429632.0000,0.321437,-0.831400,2
2015-01-14,sh.600519,131.0473400000,132.1098860000,128.1288803200,129.7581175200,5240344,965036192.0000,0.458875,-0.919500,2
2015-01-15,sh.600519,130.2610559600,132.0390496000,129.2622627200,131.8052894800,4858552,895503104.0000,0.425443,1.577700,2
2015-01-16,sh.600519,131.8973768000,133.1724320000,131.7415367200,131.8336240400,3997806,746304288.0000,0.350071,0.021500,2
2015-01-19,sh.600519,128.2138840000,129.7722848000,121.4631750800,124.3037147200,6467937,1151544272.0000,0.566370,-5.711700,2
2015-01-20,sh.600519,124.6862312800,127.8597020000,122.5469720000,126.1454611200,6102274,1086018448.0000,0.534351,1.481700,2
2015-01-21,sh.600519,126.2800502800,129.5597756000,125.5221008000,129.1772590400,5267474,950750400.0000,0.461251,2.403400,2
2015-01-22,sh.600519,129.1843426800,130.5939870400,127.5055200000,128.3768077200,3825481,696541248.0000,0.334981,-0.619700,2
2015-01-23,sh.600519,127.5905236800,129.8289539200,127.5834400400,128.2280512800,3308455,600627344.0000,0.289708,-0.115900,2
2015-01-26,sh.600519,128.7097388000,129.9847940000,128.2493022000,129.4889392000,3564906,650642096.0000,0.312164,0.983300,2
2015-01-27,sh.600519,129.5031064800,129.5031064800,126.0887920000,127.5834400400,4188362,755025856.0000,0.366757,-1.471600,2
2015-01-28,sh.600519,126.7971560000,127.7888656000,125.5929372000,125.7133590800,3068066,547979152.0000,0.268658,-1.465800,2
2015-01-29,sh.600519,124.8137368000,126.0887920000,123.9637000000,124.7783186000,3249254,571553424.0000,0.284524,-0.743800,2
2015-01-30,sh.600519,125.3733443600,128.2138840000,125.0262460000,125.5079335200,4750834,848744496.0000,0.416011,0.584700,2
2015-02-02,sh.600519,124.3249656400,124.9554096000,122.9011540000,123.8361944800,3398336,593379648.0000,0.297578,-1.332000,2
2015-02-03,sh.600519,125.7204427200,126.5492286000,124.8137368000,126.3508866800,2779280,493512560.0000,0.243370,2.030700,2
2015-02-04,sh.600519,126.9034106000,128.9789171200,125.3804280000,125.5575190000,3529371,634135328.0000,0.309052,-0.627900,2
2015-02-05,sh.600519,126.7759050800,128.1430476000,123.2553360000,123.2907542000,4123962,735861120.0000,0.361118,-1.805400,2
2015-02-06,sh.600519,123.7086889600,125.0262460000,122.9719904000,123.6803544000,3710238,648205632.0000,0.324890,0.316000,2
2015-02-09,sh.600519,124.5091402800,131.1181764000,123.9637000000,130.5514852000,8729358,1584342288.0000,0.764393,5.555600,2
2015-02-10,sh.600519,130.9056672000,131.1890128000,128.5326478000,129.5456083200,5363887,984795856.0000,0.469693,-0.770500,2
2015-02-11,sh.600519,129.2055936000,130.5160670000,128.9789171200,129.7368666000,2289479,420358864.0000,0.200480,0.147600,2
2015-02-12,sh.600519,130.3318923600,130.6860743600,128.9293316400,130.0343794800,2505098,458818624.0000,0.219361,0.229300,2
2015-02-13,sh.600519,130.4168960400,130.6931580000,128.4972296000,129.2693463600,4012705,734977408.0000,0.351376,-0.588300,2
2015-02-16,sh.600519,129.3047645600,130.0768813200,128.3697240800,129.8502048400,3952108,722512096.0000,0.346070,0.449300,2
2015-02-17,sh.600519,130.0202122000,130.2610559600,128.8584952400,129.0780880800,3417255,624854080.0000,0.299235,-0.594600,2
2015-02-25,sh.600519,129.6306120000,131.5431948000,128.2918040400,130.3106414400,5993512,1104113264.0000,0.524827,0.954900,2
2015-02-26,sh.600519,130.1973032000,133.4486939600,130.0202122000,132.2090569600,6229772,1163369600.0000,0.545515,1.456800,2
2015-02-27,sh.600519,132.3932316000,137.7767980000,132.3223952000,135.3329422000,6337094,1217723184.0000,0.554913,2.362800,2
2015-03-02,sh.600519,135.1558512000,137.2809432000,133.8807960000,135.1062657200,3109870,592027088.0000,0.272318,-0.167500,2
2015-03-03,sh.600519,134.0933052000,136.0058880000,131.1606782400,131.7202858000,4299960,812905776.0000,0.376530,-2.506200,2
2015-03-04,sh.600519,132.4569843600,133.1795156400,130.7639944000,132.5986571600,4066223,757815040.0000,0.356062,0.666800,2
2015-03-05,sh.600519,131.0544236400,132.4853189200,130.3743942000,131.4156892800,3620624,670609776.0000,0.317043,-0.892100,2
2015-03-06,sh.600519,131.2952674000,132.0957187200,129.8218702800,130.0697976800,2547066,471454752.0000,0.223036,-1.024200,2
2015-03-09,sh.600519,131.6140312000,136.7071683600,130.1973032000,135.6942078400,4348603,815432192.0000,0.380789,4.324100,2
2015-03-10,sh.600519,135.2550221600,135.6517060000,132.6624099200,133.0520101200,2963706,561292480.0000,0.259519,-1.947200,2
2015-03-11,sh.600519,133.0520101200,136.7142520000,133.0307592000,135.9917207200,4058339,778418704.0000,0.355372,2.209400,2
2015-03-12,sh.600519,136.7142520000,138.8322603600,135.5808696000,136.5371610000,3849640,747203168.0000,0.337097,0.401100,2
2015-03-13,sh.600519,136.5017428000,137.3517796000,133.5832831200,134.5254072400,2547927,486997360.0000,0.223111,-1.473400,2
2015-03-16,sh.600519,134.6316618400,137.7767980000,132.4711516400,137.2526086400,3116097,597313680.0000,0.272864,2.027300,2
2015-03-17,sh.600519,138.1238963600,140.7448431600,138.0530599600,139.3847842800,4590408,903712736.0000,0.401963,1.553500,2
2015-03-18,sh.600519,139.4060352000,141.6657163600,138.4993292800,141.2831998000,3930446,778884992.0000,0.344173,1.362000,2
2015-03-19,sh.600519,140.6385885600,140.9573523600,137.4651178400,138.3293219200,3353977,658535488.0000,0.293694,-2.090700,2
2015-03-20,sh.600519,137.5642888000,138.1238963600,135.2125203200,136.8205066000,5137371,991294896.0000,0.449858,-1.090700,2
2015-03-23,sh.600519,137.8972198800,139.3706170000,136.8559248000,138.1876491200,4097901,799009920.0000,0.358836,0.999200,2
2015-03-24,sh.600519,138.3434892000,139.8593881600,136.0767244000,138.6197511600,6007944,1172628512.0000,0.526091,0.312700,2
2015-03-25,sh.600519,136.7142520000,138.2018164000,136.0483898400,136.5584119200,4224030,815963248.0000,0.369881,-1.487000,2
